x,y,predicted_intensity
-4.0,-7.75,2.4984059006868513
-3.75,-7.75,2.54517837481902
-3.5,-7.75,2.530292976937364
-3.25,-7.75,2.7324058069372827
-3.0,-7.75,2.802258119934109
-2.75,-7.75,2.9022030047298237
-2.5,-7.75,2.8859266524199114
-2.25,-7.75,3.0583336990439243
-2.0,-7.75,3.3437085371547965
-1.75,-7.75,3.4912283886420683
-1.5,-7.75,3.582523255264018
-1.25,-7.75,3.779071765691789
-1.0,-7.75,3.917986949927702
-0.75,-7.75,4.450613716522291
-0.5,-7.75,4.527767864667631
-0.25,-7.75,5.870476606403013
0.0,-7.75,6.309727347381714
0.25,-7.75,8.664357502970608
0.5,-7.75,12.529394644044267
0.75,-7.75,15.446429210425602
1.0,-7.75,20.17821796091002
