x,y,intensity
8.375,-8.125,13.8432
8.625,-8.125,14.488
8.875,-8.125,-1
9.125,-8.125,-1
9.375,-8.125,-1
-9.375,-7.875,-1
-9.125,-7.875,-1
-8.875,-7.875,-1
-8.625,-7.875,3.68344e-06
-8.375,-7.875,-1
-8.125,-7.875,-1
-7.875,-7.875,-1
-7.625,-7.875,-1
-7.375,-7.875,-1
-7.125,-7.875,-1
-6.875,-7.875,-1
-6.625,-7.875,-1
-6.375,-7.875,-1
-6.125,-7.875,-1
-5.875,-7.875,-1
-5.625,-7.875,-1
-5.375,-7.875,-1
-5.125,-7.875,-1
-4.875,-7.875,-1
-4.625,-7.875,2.21908
-4.375,-7.875,2.32059
-4.125,-7.875,2.30065
-3.875,-7.875,2.45263
-3.625,-7.875,2.451
-3.375,-7.875,2.53025
-3.125,-7.875,2.61953
-2.875,-7.875,2.69646
-2.625,-7.875,2.78089
-2.375,-7.875,3.07043
-2.125,-7.875,3.1825
-1.875,-7.875,3.29736
-1.625,-7.875,3.4809
-1.375,-7.875,3.51802
-1.125,-7.875,3.68659
-0.875,-7.875,3.99593
-0.625,-7.875,4.49123
-0.375,-7.875,5.25935
-0.125,-7.875,6.71144
0.125,-7.875,7.60065
0.375,-7.875,10.4126
0.625,-7.875,13.1349
0.875,-7.875,16.5547
1.125,-7.875,20.7716
1.375,-7.875,25.6477
1.625,-7.875,34.1541
1.875,-7.875,38.6746
2.125,-7.875,41.9532
2.375,-7.875,45.1354
2.625,-7.875,45.7536
2.875,-7.875,41.2436
3.125,-7.875,37.095
3.375,-7.875,54.7437
3.625,-7.875,49.8825
3.875,-7.875,44.1029
4.125,-7.875,41.135
4.375,-7.875,38.6185
4.625,-7.875,36.6011
4.875,-7.875,34.1465
5.125,-7.875,33.406
5.375,-7.875,33.9386
5.625,-7.875,32.5144
5.875,-7.875,32.724
6.125,-7.875,33.6181
6.375,-7.875,32.5866
6.625,-7.875,32.0551
6.875,-7.875,27.6849
7.125,-7.875,23.922
7.375,-7.875,22.0782
7.625,-7.875,14.9352
7.875,-7.875,-1
8.125,-7.875,-1
8.375,-7.875,14.4798
8.625,-7.875,15.3316
8.875,-7.875,-1
9.125,-7.875,-1
9.375,-7.875,-1
-9.375,-7.625,-1
-9.125,-7.625,-1
-8.875,-7.625,-1
-8.625,-7.625,3.50551e-06
-8.375,-7.625,-1
-8.125,-7.625,-1
-7.875,-7.625,-1
-7.625,-7.625,-1
-7.375,-7.625,-1
-7.125,-7.625,-1
-6.875,-7.625,-1
-6.625,-7.625,-1
-6.375,-7.625,-1
-6.125,-7.625,-1
-5.875,-7.625,-1
-5.625,-7.625,-1
-5.375,-7.625,-1
-5.125,-7.625,-1
-4.875,-7.625,-1
-4.625,-7.625,2.28443
-4.375,-7.625,2.41151
-4.125,-7.625,2.47226
-3.875,-7.625,2.51714
-3.625,-7.625,2.61824
-3.375,-7.625,2.70663
-3.125,-7.625,2.80701
-2.875,-7.625,2.90844
-2.625,-7.625,2.96176
-2.375,-7.625,3.01581
-2.125,-7.625,3.37576
-1.875,-7.625,3.44345
-1.625,-7.625,3.42867
-1.375,-7.625,3.77975
-1.125,-7.625,3.99694
-0.875,-7.625,4.22779
-0.625,-7.625,4.42043
-0.375,-7.625,4.8653
-0.125,-7.625,5.67441
0.125,-7.625,6.15323
0.375,-7.625,10.9298
0.625,-7.625,13.3153
0.875,-7.625,17.8064
1.125,-7.625,23.0219
1.375,-7.625,31.1757
1.625,-7.625,38.31
1.875,-7.625,44.5978
2.125,-7.625,50.0361
2.375,-7.625,51.9018
2.625,-7.625,49.8384
2.875,-7.625,43.2723
3.125,-7.625,36.5552
3.375,-7.625,29.1491
3.625,-7.625,44.5502
3.875,-7.625,42.3061
4.125,-7.625,37.9454
4.375,-7.625,35.5392
4.625,-7.625,35.2036
4.875,-7.625,35.1664
5.125,-7.625,35.1916
5.375,-7.625,35.9856
5.625,-7.625,34.3182
5.875,-7.625,34.8494
6.125,-7.625,36.5733
6.375,-7.625,35.1934
6.625,-7.625,35.339
6.875,-7.625,30.7995
7.125,-7.625,26.6735
7.375,-7.625,23.9558
7.625,-7.625,-1
7.875,-7.625,-1
8.125,-7.625,-1
8.375,-7.625,-1
8.625,-7.625,15.4201
8.875,-7.625,-1
9.125,-7.625,-1
9.375,-7.625,-1
-9.375,-7.375,-1
-9.125,-7.375,-1
-8.875,-7.375,3.66961e-06
-8.625,-7.375,3.72984e-06
-8.375,-7.375,-1
-8.125,-7.375,-1
-7.875,-7.375,-1
-7.625,-7.375,-1
-7.375,-7.375,-1
-7.125,-7.375,-1
-6.875,-7.375,-1
-6.625,-7.375,-1
-6.375,-7.375,-1
-6.125,-7.375,-1
-5.875,-7.375,-1
-5.625,-7.375,-1
-5.375,-7.375,-1
-5.125,-7.375,-1
-4.875,-7.375,-1
-4.625,-7.375,2.33159
-4.375,-7.375,2.41659
-4.125,-7.375,2.46102
-3.875,-7.375,2.57822
-3.625,-7.375,2.68777
-3.375,-7.375,2.79153
-3.125,-7.375,2.88872
-2.875,-7.375,3.01162
-2.625,-7.375,3.15246
-2.375,-7.375,3.35644
-2.125,-7.375,3.37234
-1.875,-7.375,3.65659
-1.625,-7.375,3.74128
-1.375,-7.375,3.95358
-1.125,-7.375,4.17349
-0.875,-7.375,4.59832
-0.625,-7.375,4.51711
-0.375,-7.375,5.03778
-0.125,-7.375,5.30045
0.125,-7.375,5.88364
0.375,-7.375,8.25614
0.625,-7.375,7.96592
0.875,-7.375,11.1399
1.125,-7.375,16.2667
1.375,-7.375,27.051
1.625,-7.375,36.2713
1.875,-7.375,47.1741
2.125,-7.375,56.8353
2.375,-7.375,62.6559
2.625,-7.375,62.12
2.875,-7.375,57.6426
3.125,-7.375,46.2028
3.375,-7.375,36.5614
3.625,-7.375,25.0094
3.875,-7.375,17.961
4.125,-7.375,38.7532
4.375,-7.375,36.1096
4.625,-7.375,35.4174
4.875,-7.375,35.4325
5.125,-7.375,36.2627
5.375,-7.375,37.6056
5.625,-7.375,36.3353
5.875,-7.375,36.9091
6.125,-7.375,38.7275
6.375,-7.375,39.6211
6.625,-7.375,38.7943
6.875,-7.375,35.2869
7.125,-7.375,28.6143
7.375,-7.375,26.6293
7.625,-7.375,-1
7.875,-7.375,-1
